"Devicename";"Deviceaddress";"Devicetype"
"seint3660";"164.4.67.59";"Microsoft_OS_Windows"
"seint3661";"164.4.67.66";"Microsoft_OS_Windows"
"seint3666";"138.103.89.35";"Microsoft_OS_Windows"
"seint3667";"138.103.89.63";"Microsoft_OS_Windows"
"seint3668";"138.103.89.179";"Microsoft_OS_Windows"
"seint3669";"138.103.89.96";"Microsoft_OS_Windows"
"seint3670";"138.103.144.215";"Microsoft_OS_Windows"
"seint3672";"164.4.41.220";"Microsoft_OS_Windows"
"seint3673";"164.4.41.221";"Microsoft_OS_Windows"
"seint3674";"138.103.89.97";"Microsoft_OS_Windows"
"seint3681";"138.103.186.21";"Microsoft_OS_Windows"
"seint3682";"138.103.186.22";"Microsoft_OS_Windows"
"seint3684";"138.103.186.23";"Microsoft_OS_Windows"
"seint3685";"138.103.186.24";"Microsoft_OS_Windows"
"seint3686";"138.103.186.16";"Microsoft_OS_Windows"
"seint3688";"164.4.41.132";"Microsoft_OS_Windows"
"seint3689";"164.4.41.219";"Microsoft_OS_Windows"
"seint3690";"138.103.186.37";"Microsoft_OS_Windows"
"seint3691";"138.103.186.40";"Microsoft_OS_Windows"
"seint454";"138.103.89.115";"Microsoft_OS_Windows"
"seint5004";"138.103.186.181";"Microsoft_OS_Windows"
"seint5005";"138.103.186.178";"Microsoft_OS_Windows"
"seint641";"138.103.144.80";"Microsoft_OS_Windows"
"seint651";"138.103.90.162";"Microsoft_OS_Windows"
"seint654";"138.103.90.165";"Microsoft_OS_Windows"
"seint660";"138.103.90.170";"Microsoft_OS_Windows"
"seint665";"138.103.90.175";"Microsoft_OS_Windows"
"seint666";"138.103.90.176";"Microsoft_OS_Windows"
"seint675";"164.4.51.231";"Microsoft_OS_Windows"
"seint676";"164.4.51.235";"Microsoft_OS_Windows"
"seint709";"164.4.41.225";"Microsoft_OS_Windows"
